Ingredient,PDT Cocktail,,Notes
,Smoky Grove,243,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Statesman,247,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Tuxedo,257,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Weeski,264,Housemade (50/50 Fee Brothers/Regan's No. 6)
,Woolworth,270,Housemade (50/50 Fee Brothers/Regan's No. 6)
"Bitters, Grapefruit",Gilchrist,130,Fee Brothers
,Vaccari,259,Bitter Truth
"Bitters, Peach",Trident,253,Fee Brothers
"Bitters, Peruvian Amargo",Bubbaloo,81,
"Bitters, Peychaud's",De la Louisiane,103,
,Deshler,105,
,Falling Leaves,119,
,Masataka Swizzle,174,
,New Amsterdam,188,
,Nouveau Carré,193,
,Queens Park Swizzle,214,
,Red-Headed Saint,219,
,Sazerac,234,
,Seelbach Cocktail,234,
,Shaddock Rose,235,
,Silk Road,238,
,Staggerac,245,
,Swollen Gland,249,
,Vieux Carré,262,
"Bitters, Rhubarb",Foreign Legion,124,Fee Brothers
,May Day,176,Fee Brothers
"Bitters, Verbena",Red-Headed Saint,219,A.B. Smeby
"Bitters, Whiskey Barrel Aged",Nth Degree,194,Fee Brothers
,Red Devil,217,Fee Brothers
,Wrong Aisle,271,Fee Brothers
"Bitters, Xocolatl Mole",Left Hand Cocktail,164,Bittermens
,Plátanos en Mole Old Fashioned,209,Bittermens
"Brandy, Apple",Applejack Rabbit,52,Laird's Bonded
,Diamondback,106,Laird's Bonded
,Great Pumpkin,136,Laird's Bonded
,Harvest Moon,139,Laird's Bonded
,Harvest Sling,140,Laird's Bonded
,Honeymoon Cocktail,143,Laird's Bonded
,Jack Rose,149,Laird's Bonded
,Master Cleanse,175,Laird's Bonded
,Newark,189,Laird's Bonded
,Nouveau Sangaree,193,Laird's Bonded
,Nth Degree,194,Laird's Bonded
,Persephone,207,Laird's Applejack
,Pink Lady,208,Laird's Applejack
,Pumpkin Toddy,212,Laird's Bonded
,Solstice,243,Laird's Bonded
,Widow's Kiss,268,Laird's Bonded
,Wrong Aisle,271,Laird's Bonded
"Brandy, Cognac",#3 Cup,42,Hine VSOP
,Apricot Flip,53,Hine VSOP
,Betsy Ross,64,Pierre Ferrand Ambre
,Black Jack,68,Pierre Ferrand Ambre
,Brandy Crusta,74,Hine VSOP
,Buona Notte,82,"walnut-infused, Hine VSOP"
,Cavalier,86,Hine VSOP
,Champs Élysées,87,Hine VSOP
,Coffee Cocktail,95,Martell VSOP
,East India Cocktail,111,Martell VSOP
,Field Cocktail,119,Pierre Ferrand Ambre
,Fish House Punch,120,Pierre Ferrand Ambre
,Fog Cutter,123,Hine VSOP
,French Maid,128,Hine VSOP
,Imperial Blueberry Fizz,147,Hine VSOP
,Japanese Cocktail,151,Hine VSOP
,Jimmie Roosevelt,151,Rémy Martin VSOP
,L.E.S. Globetrotter,167,Hine VSOP
,May Daisy,175,Hine VSOP
,Midnight Express,179,"walnut-infused, Hine VSOP"
,Milk Punch,180,Pierre Ferrand Ambre
,Montgomery Smith,182,Hine VSOP
,Nigori Milk Punch,191,Hine VSOP
,Prince of Wales,212,Hine VSOP
,Sidecar,236,Rémy Martin VSOP
,Velvet Club,260,Hine VSOP
,Vieux Carré,262,Hine VSOP
"Brandy, Jerez",Mount Vernon,186,Gran Duque d'Alba
"Brandy, Pear",Falling Leaves,119,Clear Creek
,Gilchrist,130,Clear Creek
,Kina Miele,155,Clear Creek
,Perfect Pear,205,Clear Creek
"Brandy, Pisco",Bee's Sip,60,"chamomile-infused, Barsol Quebranta"
,Bubbaloo,81,Macchu
,Cuzco,101,Barsol Quebranta
,Hot Buttered Pisco,144,"spice-infused, Macchu"
,Judgment Day,152,Macchu
,King Bee,155,Barsol Quebranta
,Pisco Sour,209,La Diablada
"Brandy, Plum",Flying Dutchman,123,Clear Creek
,Left Coast,165,Clear Creek
,St. Rita,247,Clear Creek
"Brine, Pickled Ramp",Rite of Spring,227,
"Butter, Apple",Witch's Kiss,268,
"Butter, Vanilla",Hot Buttered Pisco,144,
Cachaça,Brazilian Tea Punch,76,"green tea-infused, Leblon"
,Caipirinha,84,Beleza Pura
,Girl From Jerez,133,Mãe de Ouro
,Morango Fizz,183,"strawberry-infused, Mãe de Ouro"
,Pearl Button,204,Mãe de Ouro
,Red-Headed Saint,219,Beleza Pura
,Rio Bravo,226,Sagatiba
Campari,Americano Highball,49,
,Left Hand Cocktail,164,
,Negroni,188,
,Old Pal,198,
,Romeo y Julieta,228,
,Rosita,229,
,Siesta,237,
"Chartreuse, Green",Albert Mathieu,49,
,Bijou,66,
,Champs Élysées,87,
,Green Harvest,137,
,Harvest Moon,139,
,Jimmie Roosevelt,151,
,Last Word,162,
,Lawn Dart,162,
,May Daisy,175,
,Nth Degree,194,
,Old Flame,197,flaming
,Statesman,247,
,Talbott Leaf,249,
,Tipperary Cocktail,251,rinse
,Vauvert Slim,260,
"Chartreuse, Yellow",Chien Chaud,89,
,Cloister,92,
,Diamondback,106,
,East Village Athletic Club Cocktail,112,
,Greenpoint,138,
,Japanese Courage,150,
,Koyo,157,
,La Louche,159,
,Lion's Tooth,166,
,Pearl of Puebla,205,
,Red-Headed Saint,219,
,Resting Point,222,
,Swollen Gland,249,
,Widow's Kiss,268,
Cherry Heering,#3 Cup,42,
,Blood and Sand,73,
,Death Bed,102,
,Eclipse Cocktail,113,
,Harvest Sling,140,
,Mount Vernon,186,
,Remember the Maine,218,
,Singapore Sling,241,
"Cider, Apple",Apple Malt Toddy,53,
,Mum's Apple Pie,187,
,Norman Inversion,192,sparkling
,Remember Maine,219,
Cocchi Americano,Kina Miele,155,
Cointreau,Cavalier,86,
,Corpse Reviver No.2,97,
,Deshler,105,
,Hotel d'Alsace,146,
,Margarita,171,
,Primavera,211,
,Royal Bermuda Yachtclub Cocktail,231,
,Seelbach Cocktail,234,
,Sidecar,236,
,Singapore Sling,241,
,Water Lily,263,
,Weeski,264,
,White Lady,267,
Coffee,Midnight Express,179,
"Cordial, Grapefruit",Shaddock Rose,235,
"Coridal, Lime",Gimlet,131,
"Cream, Heavy",Dulce de Leche,110,
,New York Flip,190,
,Ramos Gin Fizz,215,
,Wellington Fizz,264,
Crème de Banane,Plátanos en Mole Old Fashioned,209,Marie Brizard
Crème de Cacao,20th Century,44,Marie Brizard White
,El Molino,116,Mare Brizard White
,Foreign Legion,124,Marie Brizard Dark
,Frambroise Fizz,124,Marie Brizard White
,La Florida Cocktail,158,Marie Brizard White
,Velvet Club,260,Marie Brizard White
Crème de Cassis,El Diablo,115,Theuriet
Crème de Mandarine,Opera Cocktail,198,Mandarin Napoleon
Crème de Violette,Águila Azteca,48,Rothman & Winter
,Aviation,57,Rothman & Winter
,Flying Dutchman,123,Creme Yvette
,Imperial Blueberry Fizz,147,Creme Yvette
,Left Coast,165,Rothman & Winter
,Water Lily,263,Rothman & Winter
"Curaçao, Orange",#3 Cup,42,Marie Brizard
,Brandy Crusta,74,Marie Brizard
,East India Cocktail,111,Marie Brizard
,Falling Leaves,119,Marie Brizard
,Honeymoon Cocktail,143,Marie Brizard
,Mai-Tai,168,Marie Brizard
,South Slope,244,Marie Brizard
Cynar,Berlioni,63,
,Heirloom,140,
,Koyo,157,
,Talbott Leaf,249,
,Trident,253,
Drambuie,Lake George,158,
,Prince Edward,211,
,Rusty Nail,231,
Dubonnet Rouge,Deshler,105,
,Duboudreau Cocktail,110,
,Foreign Legion,124,
,Koyo,157,
,Opera Cocktail,198,
,Single Malt Sangaree,241,
,Solstice,243,
Eau de Vie,Raspberries Reaching,216,
"Egg, White",Clover Club,92,
,Frankfort Rose,126,
,Morango Fizz,183,
,Old Flame,197,
,Pink Lady,208,
,Pisco Sour,209,
,Ramos Gin Fizz,215,
,Rattlesnake,216,
,Rust Belt,230,
,Shiso Malt Sour,236,
,Silver Lining,239,
,Silver Root Beer Fizz,239,
,Silver Sangaree,240,
,Swiss Mist,248,
,Vauvert Slim,260,
,Wellington Fizz,264,
,White Birch Fizz,265,
,White Lady,267,
"Egg, Whole",Apricot Flip,53,
,Black Flip,67,
,Coda,94,
,Coffee Cocktail,95,
,Dulce de Leche,110,
,Great Pumpkin,136,
,Mae West Royal Diamond Fizz,169,
"Egg, Yolk",New York Flip,190,
Elderflower Liqueur,Albert Mathieu,49,St-Germain
,Duboudreau Cocktail,110,St-Germain
,El Puente,117,St-Germain
,Ephemeral,117,St-Germain
,Judgment Day,152,St-Germain
,Kin Kan,156,St-Germain (rinse)
,Koyo,157,St-Germain (rinse)
,Le Père Bis,165,St-Germain
,Lion's Tooth,166,St-Germain
,Vieux Mot,261,St-Germain
,Wrong Aisle,271,"rinse, St-Germain"
Espresso Liqueur,Espresso Bongo,118,Illy
"Essence, Bergamot",Wellington Fizz,264,Aftel
"Essence, Clove",Spice Market,245,Aftel
"Essence, Tobacco",Romeo y Julieta,228,Aftel
Falernum,Flora Astoria,121,John D. Taylor's Velvet
,French Maid,128,John D. Taylor's Velvet
,Royal Bermuda Yachtclub Cocktail,231,John D. Taylor's Velvet
,Spice Market,245,John D. Taylor's Velvet
,Zombie Punch,271,John D. Taylor's Velvet
Fernet-Branca,Duboudreau Cocktail,110,
,Hanky Panky,138,
,Montgomery Smith,182,
,Newark,189,
,Occidental,195,rinse
Galliano l'Autentico,Brewer's Breakfast,78,
,Nigori Milk Punch,191,
,Paddy Wallbanger,199,
,Rust Belt,230,
,Tao of Pooh,250,
,Vaccari,259,
Genever,Flying Dutchman,123,Bols
,Henry Hudson,143,Bols
,Japanese Courage,150,Bols
,Left Coast,165,Anchor Genevieve
,New Amsterdam,188,Bols
,Red Devil,217,Bols
"Gin, London Dry",Astoria Bianca,56,Tanqueray
,Aviation,57,Beefeater
,Berlioni,63,Tanqueray
,Bijou,66,Tanqueray
,Blackbeard,67,Beefeater
,Blackthorn Rose,72,Hendrick's
,Bronx,79,Beefeater
,Caprice,84,Beefeater
,Cloister,92,Tanqueray
,Cranberry Cobbler,98,Beefeater
,Donizetti,107,Tanqueray
,Flora Astoria,121,Hendrick's
,Fog Cutter,123,Tanqueray
,French 75,127,Tanqueray
,Gin & Tonic,132,Tanqueray
,Hanky Panky,138,Beefeater
,Kin Kan,156,Beefeater
,La Louche,159,Hendrick's
,Last Word,162,Tanqueray
,Lawn Dart,162,Tanqueray
,Monkey Gland,182,Beefeater
,Negroni,188,Beefeater
,Noce Royale,191,Beefeater
,Norman Inversion,192,Aviation
,Paul's Club Cocktail,203,Tanqueray
,Ramos Gin Fizz,215,Beefeater
,Rite of Spring,227,Tanqueray
,Shiso Delicious,235,Aviation
,South Slope,244,Beefeater
,Spice Market,245,Beefeater 24
,Statesman,247,Beefeater 24
,Swollen Gland,249,Berkshire Mountain Distillers' Greylock
,White Lady,267,Beefeater
"Gin, Old Tom",Ephemeral,117,Ransom
,Heirloom,140,Hayman's
,Martinez,173,Hayman's
,Tom Collins,252,Hayman's
"Gin, Plymouth",20th Century,44,
,Albert Mathieu,49,
,Archangel,56,
,Bee's Knees,59,
,Blackthorn (English),70,
,Cherry Pop,87,
,Clover Club,92,
,Corpse Reviver No.2,97,
,Desert Rose,104,rose-infused
,Edgewood,113,
,Gimlet,131,
,Green Deacon,136,
,Leapfrog,163,
,Martini,173,
,May Day,176,
,Melon Stand,176,
,Old Flame,197,
,Old Maid,197,
,Opera Cocktail,198,
,Pink Lady,208,
,Singapore Sling,241,
,Sloe Gin Fizz,242,
,Southside,244,
,Swiss Mist,248,
,Tuxedo,257,
,Vesper,261,
,Vieux Mot,261,
,Water Lily,263,
,White Birch Fizz,265,
,White Negroni,267,
"Gin, Sloe",Blackthorn (English),70,Plymouth
,Blackthorn (Rose),72,Plymouth
,Green Deacon,136,Plymouth
,Noce Royale,191,Plymouth
,Nouveau Sangaree,193,Plymouth
,Persephone,207,Plymouth
,Sloe Gin Fizz,242,Plymouth
Ginger Ale,Pimms Cup,207,
Ginger Beer,#3 Cup,42,
,El Burro,115,
,El Diablo,115,
,French Maid,128,
,Harvest Sling,140,
,Mezcal Mule,178,
,Moscow Mule,186,
,Sage Old Buck,232,
Ginger Liqueur,Águila Azteca,48,Canton
,Crimson Tide,100,Canton
,Dry County Cocktail,107,Canton
,Japanese Courage,150,Canton
Godiva Original Liqueur,There Will Be Blood,250,
Gran Classico Bitter,Mexicano,178,
Grand Marnier,Betsy Ross,64,
,East Village Athletic Club Cocktail,112,
,Occidental,195,
,Prince of Wales,212,
,Rhubarbarita,224,
,Single Malt Sangaree,241,
,Up to Date,258,
Grenadine,Jack Rose,149,
,La Florida Cocktail,158,
,Mae West Royal Diamond Fizz,169,
,Mary Pickford,174,
,Pharoaoh Cooler,206,
,Pink Lady,208,
,Rhubarbarita,224,
,Singapore Sling,241,
,Solstice,243,
,Ward Eight,263,
,Zombie Punch,271,
Horchata,Cafe Arroz,83,
"Juice, Blood Orange",There Will Be Blood,250,
"Juice, Grapefruit",212,43,
,Blackstar,69,
,Blinker,72,
,Brown Derby,81,
,Cloister,92,
,Cuzco,101,
,Edgewood,113,
,El Puente,117,
,Gilchrist,130,
,Green Deacon,136,
,Hemingway Daiquiri,141,
,Mae West Royal Diamond Fizz,169,
,Mount Vernon,186,
,Navy Grog,187,
,Norman Inversion,192,
,Paddington,199,
,Shiso Delicious,235,
,Siesta,237,
,Vauvert Slim,260,
"Juice, Honeydew Melon",Águila Azteca,48,
"Juice, Lemon",#3 Cup,42,
,20th Century,44,
,21st Century,44,
,Applejack Rabbit,52,
,Aviation,57,
,Bee's Knees,59,
,Betula,65,
,Blackbeard,67,
,Brandy Crusta,74,
,Cameron's Kick,85,
,Cavalier,86,
,Champs Élysées,87,
,Cherry Pop,87,
,Cloister,92,
,Clover Club,92,
,Conquistador,96,
,Corpse Reviver No.2,97,
,Cuzco,101,
,Desert Rose,104,
,East Village Athletic Club Cocktail,112,
,Eclipse Cocktail,113,
,El Diablo,115,
,Figetaboutit,120,
,Fish House Punch,120,
,Flying Dutchman,123,
,Fog Cutter,123,
,Frambroise Fizz,124,
,Frankfort Rose,126,
,French 75,127,
,Golden Star Fizz,134,
,Gold Rush,134,
,Harvest Sling,140,
,Henry Hudson,143,
,Honeymoon Cocktail,143,
,Jack Rose,149,
,Johnny Apple Collins,152,
,Judgment Day,152,
,King Bee,155,
,Kin Kan,156,
,Lake George,158,
,La Louche,159,
,Leapfrog,163,
,Left Coast,165,
,Little Bit Country,167,
,Mariner,172,
,Masataka Swizzle,174,
,Master Cleanse,175,
,May Daisy,175,
,May Day,176,
,Melon Stand,176,
,Morango Fizz,183,
,Mum's Apple Pie,187,
,Noval Cup,194,
,Old Flame,197,
,Paddington,199,
,Parkside Fizz,202,
,Perfect Pear,205,
,Persephone,207,
,Pimms Cup,207,
,Pink Lady,208,
,Primavera,211,
,Pumpkin Toddy,212,
,Ramos Gin Fizz,215,
,Rattlesnake,216,
,Resting Point,222,
,Rhubarbarita,224,
,Rust Belt,230,
,Sage Old Buck,232,
,Shiso Delicious,235,
,Sidecar,236,
,Silver Lining,239,
,Silver Root Beer Fizz,239,
,Silver Sangaree,240,
,Sloe Gin Fizz,242,
,Southside,244,
,South Slope,244,
,Swiss Mist,248,
,Talbott Leaf,249,
,Tom Collins,252,
,Vieux Mot,261,
,Ward Eight,263,
,Water Lily,263,
,Whiskey Smash,265,wedges
,White Birch Fizz,265,
,White Lady,267,
,Witch's Kiss,268,
"Juice, Lime",Airmail,48,
,Apple Daiquiri,51,
,Beachbum,57,
,Beer and Smoke,58,
,Blackstar,69,
,Caipirinha,84,
,Coconut Colada,93,
,Coda,94,
,Condiment Cocktail,94,
,Conquistador,96,
,Crimson Tide,100,
,Death Bed,102,
,Daiquiri,103,
,El Burro,115,
,Espresso Bongo,118,
,Fish House Punch,120,
,French Maid,128,
,Fresa Verde,129,
,Girl From Jerez,133,
,Heirloom,140,
,Hemingway Daiquiri,141,
,Hotel Nacional Special,146,
,Judgment Day,152,
,Junior,154,
,Kansai Kick,154,
,La Florida Cocktail,158,
,Last Word,162,
,Lawn Dart,162,
,Luau,168,
,Mai-Tai,168,
,Margarita,171,
,Mezcal Mule,178,
,Mojito,181,
,Moscow Mule,186,
,Navy Grog,187,
,Old Maid,197,
,Paloma,202,
,Pearl Button,204,
,Pearl of Puebla,205,
,Pharoaoh Cooler,206,
,Pisco Sour,209,
,Queens Park Swizzle,214,
,Ramos Gin Fizz,215,
,Red-Headed Saint,219,
,Rhum Club,224,
,Rio Bravo,226,
,Rust Belt,230,
,Royal Bermuda Yachtclub Cocktail,231,
,Shiso Malt Sour,236,
,Siesta,237,
,Singapore Sling,241,
,St. Rita,247,
,Tommy's Margarita,252,
,Vauvert Slim,260,
,Wellington Fizz,264,
,Zombie Punch,271,
"Juice, Orange",Aperol Spritz,51,
,Applejack Rabbit,52,
,Blood and Sand,73,
,Bronx,79,
,Espresso Bongo,118,
,Fog Cutter,123,
,Monkey Gland,182,
,Perfect Pear,205,
,Swollen Gland,249,
,Ward Eight,263,
"Juice, Pineapple",Algonquin,50,
,Beachbum,57,
,Blackbeard,67,
,Coconut Colada,93,
,Death Bed,102,
,East India Company,111,
,El Burro,115,
,Espresso Bongo,118,
,Field Cocktail,119,
,Flying Dutchman,123,
,Golden Star Fizz,134,
,Hotel Nacional Special,146,
,Left Coast,165,
,Mariner,172,
,Mary Pickford,174,
,Silver Root Beer Fizz,239,
,Singapore Sling,241,
"Juice, Watermelon",Melon Stand,176,
,Pharoaoh Cooler,206,
Kahlúa,Cafe Arroz,83,
Kirschwasser,Black Jack,68,Clear Creek
,Cuzco,101,"rinse, Clear Creek"
,Mount Vernon,186,Clear Creek
,New Amsterdam,188,Clear Creek
,Rose,229,Clear Creek
,Triborough,253,Clear Creek
Licor 43,Silver Lining,239,
Lillet Blanc,20th Century,44,
,Albert Mathieu,49,
,Brown Bomber,80,
,Corpse Reviver No.2,97,
,Edgewood,113,
,Harvest Moon,139,
,Nouveau Carré,193,
,Paddington,199,
,Pearl Button,204,
,Prince Edward,211,
,South Slope,244,
,Velvet Club,260,
,Vesper,261,
,Weeski,264,
,White Negroni,267,
Lillet Rouge,Blackthorn Rose,72,
,La Louche,159,
,Wrong Aisle,271,
Luxardo Bitter,Bizet,66,
,Lacrimosa,157,
Luxardo Amaretto,Figetaboutit,120,
,Masataka Swizzle,174,
,Midnight Express,179,
Luxardo Maraschino,Aviation,57,
,Brandy Crusta,74,
,Brooklyn,78,
,Cherry Pop,87,
,Flying Dutchman,123,
,Hemingway Daiquiri,141,
,Improved Whiskey Cocktail,149,
,Last Word,162,
,Left Coast,165,
,Little Bit Country,167,
,Martinez,173,
,Mary Pickford,174,
,Newark,189,
,Tuxedo,257,
Madeira,Kansai Kick,154,Blandy's Sercial
,Prince of Wales,212,Blandy's Sercial
Mezcal,Against All Odds,46,"rinse, Illegal Reposado"
,Beer and Smoke,58,Sombra
,Eclipse Cocktail,113,"rinse, Del Maguey Vida"
,El Molino,116,Sombra
,El Puente,117,"rinse, Del Maguey Vida"
,Mezcal Mule,178,Sombra
,Pearl of Puebla,205,Sombra
,T&T,256,Sombra
"Milk, Whole",Milk Punch,180,
Monteverdi Nocino,Noce Royale,191,
Nonino Amaro,Occidental,195,
,Solstice,243,
Nonino Gioiello,Kina Miele,155,
Orgeat,Beachbum,57,
,Cameron's Kick,85,
,Cavalier,86,
,Fog Cutter,123,
,Japanese Cocktail,151,
,Kansai Kick,154,
,Luau,168,
,Mai-Tai,168,
,Parkside Fizz,202,
,Rio Bravo,226,
,Rust Belt,230,
,Wellington Fizz,264,
Peach Liqueur,Fish House Punch,120,Mathilde Pêche
Pear Liqueur,La Perla,159,Mathilde Pear
,Sage Old Buck,232,Belle de Brillet
,Statesman,247,Rothman & Winter
Pernod,21st Century,44,
,Paul's Club Cocktail,203,
,Pearl of Puebla,205,
,Remember the Maine,218,
Pimms #1,Pimms Cup,207,
Pomogranate Liqueur,Raspberries Reaching,216,
Port,Betsy Ross,64,Dow's Ruby
,Coffee Cocktail,95,Noval Black
,New York Flip,190,Noval Black
,Noval Cup,194,Noval Black
,Professor,213,Dow's Tawny
,Silver Sangaree,240,Dow's Ruby
"Preserves, Raspberry",Rose,229,
"Preserves, Strawberry",Talbott Leaf,249,
Punsch,Gold Coast,133,
Punt e Mes,Edgewood,113,
,Greenpoint,138,
,Resting Point,222,
,Triborough,253,
"Purée, Passion Fruit",Luau,168,
,Mezcal Mule,178,
,Wellington Fizz,264,
"Purée, Rhubarb",Rhubarbarita,224,
"Purée, Tamarind",T&T,256,
Root Beer,Silver Root Beer Fizz,239,
Rhum,Ti-Punch,251,Neisson Rhum Reserve Speciale
,Chien Chaud,89,J.M. Rhum Blanc
,Coda,94,Neisson Rhum Blanc
,Girl From Jerez,133,Rhum Clément  VSOP
,Mai-Tai,168,Rhum Clément  VSOP
,Nth Degree,194,Rhum Clément  VSOP
,Professor,213,Rhum Clément  VSOP
,Queens Park Swizzle,214,Barbancourt 8 yo
,Remember Maine,219,Rhum Clément  VSOP
,Rust Belt,230,Barbancourt 8 yo
Rum,Airmail,48,Banks 5 Island
,Apple Daiquiri,51,Flor de Caña Silver Dry
,Beachbum,57,"Mount Gay Eclipse Amber, Flor de Caña Silver Dry"
,Betula,65,Matusalem Gran Reserva
,Black Flip,67,Cruzan Black Strap
,Cinema Highball,90,"buttered popcorn-infused, Flor de Caña Silver Dry"
,Coconut Colada,93,Flor de Caña Silver Dry
,Coda,94,Pampero Aniversario
,Conquistador,96,Matusalem Gran Reserva
